Artist,Title,id,energy,key,acousticness,instrumentalness,liveness,tempo,type,uri,track_href,analysis_url,duration_ms,set,K12,DBSCAN2.5
Run The Jewels ,Close Your Eyes (And Count to Fuck),6JYFmWG75j0ZwtnIwAy3tz,0.778,2.0,0.0267,0.0,0.571,139.992,audio_features,spotify:track:6JYFmWG75j0ZwtnIwAy3tz,https://api.spotify.com/v1/tracks/6JYFmWG75j0ZwtnIwAy3tz,https://api.spotify.com/v1/audio-analysis/6JYFmWG75j0ZwtnIwAy3tz,164566.0,N,6,0
Coldplay ,Clocks,36xxq7VDZZsGwARsn6Clo7,0.62,11.0,0.223,0.0,0.109,80.109,audio_features,spotify:track:36xxq7VDZZsGwARsn6Clo7,https://api.spotify.com/v1/tracks/36xxq7VDZZsGwARsn6Clo7,https://api.spotify.com/v1/audio-analysis/36xxq7VDZZsGwARsn6Clo7,276347.0,N,4,0
Tyga ,Goddamn,33lXq3csEWwYNn6x0sM3Et,0.835,2.0,0.0692,0.0,0.212,126.08,audio_features,spotify:track:33lXq3csEWwYNn6x0sM3Et,https://api.spotify.com/v1/tracks/33lXq3csEWwYNn6x0sM3Et,https://api.spotify.com/v1/audio-analysis/33lXq3csEWwYNn6x0sM3Et,212619.0,N,8,0
Jason Aldean ,Lights Come On,6gXrEUzibufX9xYPk3HD5p,0.755,9.0,0.0966,6.94e-05,0.0523,109.535,audio_features,spotify:track:6gXrEUzibufX9xYPk3HD5p,https://api.spotify.com/v1/tracks/6gXrEUzibufX9xYPk3HD5p,https://api.spotify.com/v1/audio-analysis/6gXrEUzibufX9xYPk3HD5p,286220.0,N,4,0
Christina Perri ,A Thousand Years,6vMpPxLV0F5Diwcs6awI1Z,0.618,10.0,0.00558,0.000351,0.153,80.985,audio_features,spotify:track:6vMpPxLV0F5Diwcs6awI1Z,https://api.spotify.com/v1/tracks/6vMpPxLV0F5Diwcs6awI1Z,https://api.spotify.com/v1/audio-analysis/6vMpPxLV0F5Diwcs6awI1Z,286573.0,N,4,0
Quavo ,CHAMPAGNE ROSÉ,5WTxbyWTpoqhdxEN2szOnl,0.81,10.0,0.00609,0.000153,0.224,108.054,audio_features,spotify:track:5WTxbyWTpoqhdxEN2szOnl,https://api.spotify.com/v1/tracks/5WTxbyWTpoqhdxEN2szOnl,https://api.spotify.com/v1/audio-analysis/5WTxbyWTpoqhdxEN2szOnl,287293.0,N,4,0
Shawn Mendes ,Don't Be A Fool,3V03Mt7Mf7SGxEndnrHqby,0.286,3.0,0.964,0.841,0.0911,171.021,audio_features,spotify:track:3V03Mt7Mf7SGxEndnrHqby,https://api.spotify.com/v1/tracks/3V03Mt7Mf7SGxEndnrHqby,https://api.spotify.com/v1/audio-analysis/3V03Mt7Mf7SGxEndnrHqby,241152.0,N,11,1
The Ronettes ,I Saw Mommy Kissing Santa Claus,7qLr3HMApUbyDkUvgIvHnB,0.789,7.0,0.0517,0.0,0.0819,136.01,audio_features,spotify:track:7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/tracks/7qLr3HMApUbyDkUvgIvHnB,https://api.spotify.com/v1/audio-analysis/7qLr3HMApUbyDkUvgIvHnB,185333.0,N,0,0
dvsn ,Memories,2qWKpYIleSvBT6aUMXoia5,0.421,0.0,0.541,0.00227,0.125,131.653,audio_features,spotify:track:2qWKpYIleSvBT6aUMXoia5,https://api.spotify.com/v1/tracks/2qWKpYIleSvBT6aUMXoia5,https://api.spotify.com/v1/audio-analysis/2qWKpYIleSvBT6aUMXoia5,224186.0,N,3,0
Big Sean ,Living Single,1kMuU3TNQvHbqvXCWBodmP,0.841,3.0,0.0435,0.0,0.578,76.052,audio_features,spotify:track:1kMuU3TNQvHbqvXCWBodmP,https://api.spotify.com/v1/tracks/1kMuU3TNQvHbqvXCWBodmP,https://api.spotify.com/v1/audio-analysis/1kMuU3TNQvHbqvXCWBodmP,271947.0,N,6,0
